Nombre	Descripcion	Latitud	Longitud	Tipo	Clase_vial	Nombre_vial	Numero_vial	Codigo_postal
Centro de Turismo Plaza Mayor	Madrid cuenta en el Salón de Columnas de la Casa de la Panadería de la céntrica Plaza Mayor con uno de los más modernos centros turísticos del país que ofrece atención especializada con una plantilla de profesionales expertos en turismo e idiomas que atiende personalmente a los visitantes y da respuesta también a todas las peticiones de información que se realizan de manera no presencial. Centro de turismo cofinanciado por el Fondo Europeo de Desarrollo Regional.	40.41583855082183	-3.7074257084323636	OficinasTurismo	PLAZA	MAYOR	27	28012
Punto de Información Turística Aeropuerto Adolfo Suárez Madrid -  Barajas Terminal 2 (Entre salas 5 y 6)	Sin especificar	40.45188738242834	-3.5859807207200376	OficinasTurismo	AVENIDA	HISPANIDAD	0	28042
Punto de Información Turística Aeropuerto Adolfo Suárez Madrid - Barajas Terminal 4 (Sala 10)	Sin especificar	40.45188738242834	-3.5859807207200376	OficinasTurismo	AVENIDA	HISPANIDAD	0	28042
Punto de Información Turística Palacio Real	Sin especificar	40.41700064452497	-3.7121662397143345	OficinasTurismo	CALLE	BAILEN	0	28013
Punto de Información Turística Reina Sofía	Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.	40.40864029339671	-3.6939504103293244	OficinasTurismo	CALLE	SANTA ISABEL	52	28012
Punto de Información Turística. CentroCentro	El espacio de exposiciones CentroCentro, en el Palacio de Cibeles (actual sede del Ayuntamiento de Madrid y antiguo Palacio de Correos) alberga un punto de información turística especializado en información artística y cultural, en pleno Paseo del Arte.	40.419011767401095	-3.692206111679657	OficinasTurismo	PLAZA	CIBELES	1	28014
Punto de Información Turística. Estadio Santiago Bernabéu	Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.	40.451465916355055	-3.69008606793658	OficinasTurismo	PASEO	CASTELLANA	138	28046
Punto de Información Turística. Paseo del Prado	Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.	40.41688576337496	-3.692184322678944	OficinasTurismo	PLAZA	NEPTUNO	1	28014
Punto de Información Turística. Plaza de Callao	Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.	40.41974735763767	-3.7061346665078845	OficinasTurismo	PLAZA	CALLAO	1	28013
