Nombre	Descripcion	Latitud	Longitud	Tipo	Clase_vial	Nombre_vial	Numero_vial	Codigo_postal
Parroquia Santa María de la Esperanza	Sin descripcion	40.483080303551255	40.483080303551255	TemplosIglesiasCatolicas	CALLE	FERMIN CABALLERO	53	28034
Parroquia Santa María de la Fe	Sin descripcion	40.47880850659646	40.47880850659646	TemplosIglesiasCatolicas	CALLE	PUERTO DE MASPALOMAS	16	28029
Parroquia Santa María del Bosque	Sin descripcion	40.4644800965384	40.4644800965384	TemplosIglesiasCatolicas	CALLE	MANUEL URIBE	1	28033
Parroquia Santa María del Buen Aire	Sin descripcion	40.39940241336233	40.39940241336233	TemplosIglesiasCatolicas	CALLE	ENCOMIENDA DE PALACIOS	192	28030
Parroquia Santa María del Camino	Sin descripcion	40.39643929309246	40.39643929309246	TemplosIglesiasCatolicas	CALLE	ENCOMIENDA DE PALACIOS	334	28030
Parroquia Santa María del Monte Carmelo	Sin descripcion	40.42777634196356	40.42777634196356	TemplosIglesiasCatolicas	CALLE	AYALA	35	28001
Parroquia Santa María del Parque	Sin descripcion	40.47725595734675	40.47725595734675	TemplosIglesiasCatolicas	CALLE	SANTA VIRGILIA	13	28033
Parroquia Santa María del Pilar	Sin descripcion	40.412100206424185	40.412100206424185	TemplosIglesiasCatolicas	CALLE	REYES MAGOS	3	28009
Parroquia Santa María del Pinar	Sin descripcion	40.478908015024125	40.478908015024125	TemplosIglesiasCatolicas	CALLE	JAZMIN	7	28033
Parroquia Santa María del Pozo y Santa Marta	Sin descripcion	40.374533733474344	40.374533733474344	TemplosIglesiasCatolicas	CALLE	MONTANCHEZ	13	28053
Parroquia Santa María del Silencio	Parroquia de personas sordas y sordociegas.	40.44645379827357	40.44645379827357	TemplosIglesiasCatolicas	CALLE	RAIMUNDO FERNANDEZ VILLAVERDE	18	28003
Parroquia Santa María del Val	Sin descripcion	40.478227081663015	40.478227081663015	TemplosIglesiasCatolicas	AVENIDA	MONFORTE DE LEMOS	115	28029
Parroquia Santa María la Blanca	Sin descripcion	40.44521583994072	40.44521583994072	TemplosIglesiasCatolicas	PLAZA	VILLA DE CANILLEJAS	1	28022
Parroquia Santa María la Blanca de Montecarmelo	Sin descripcion	40.512079203751064	40.512079203751064	TemplosIglesiasCatolicas	CALLE	MONASTERIO DE OSEIRA	25	28049
